antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
v@GO1901363	h@GO0044237	21	0.7486	0.8197	0.4152	0.4546
v@IPR000427	h@GO0044237	15	0.7195	0.7391	0.3904	0.4099
v@IPR004186	h@GO0044237	15	0.7195	0.7391	0.3904	0.4099
v@IPR005030	h@GO0044237	9	0.7322	0.7435	0.3917	0.4124
v@IPR007706	h@GO0044237	2	0.717	0.7264	0.3788	0.4029
v@IPR010881	h@GO0044237	11	0.7263	0.7329	0.3954	0.4065
v@IPR020124	h@GO0044237	11	0.7715	0.8108	0.3481	0.4497
v@GO0000988	h@GO0044238	6	0.7305	0.7439	0.383	0.4058
v@GO0001071	h@GO0044238	22	0.7409	0.7673	0.3981	0.4186
v@GO0019042	h@GO0044238	10	0.7358	0.7453	0.397	0.4066
v@GO0019079	h@GO0044238	13	0.7444	0.7966	0.396	0.4345
v@GO0019083	h@GO0044238	15	0.7404	0.7556	0.395	0.4121
v@GO0019222	h@GO0044238	28	0.7304	0.7672	0.3969	0.4185
v@GO0044094	h@GO0044238	29	0.7578	0.8306	0.4088	0.4531
v@GO0048518	h@GO0044238	14	0.7244	0.7673	0.3937	0.4186
v@GO0065009	h@GO0044238	15	0.7335	0.772	0.4001	0.4211
v@IPR000427	h@GO0044238	14	0.7298	0.7516	0.3914	0.41
v@IPR004186	h@GO0044238	14	0.7298	0.7516	0.3914	0.41
v@IPR005030	h@GO0044238	8	0.7347	0.7472	0.3891	0.4076
v@IPR010881	h@GO0044238	10	0.7358	0.7453	0.397	0.4066
v@IPR020124	h@GO0044238	10	0.7736	0.8176	0.3381	0.446
v@GO0032879	h@GO0044425	17	0.7349	0.7438	0.2611	0.2645
v@IPR002475	h@GO0044425	10	0.73	0.7534	0.2592	0.268
v@IPR010677	h@GO0044425	2	0.7353	0.7426	0.2592	0.2641
v@IPR020726	h@GO0044425	6	0.7441	0.7534	0.2639	0.268
v@GO0000988	h@GO0044444	4	0.7924	0.8186	0.5566	0.5931
v@GO0002682	h@GO0044444	23	0.7533	0.8055	0.5458	0.5836
